"Rank","Geographic Area","Census_2010","Estimates Base","Jul_1_2010","Jul_1_2011","Jul_1_2012","Jul_1_2013","Jul_1_2014","Jul_1_2015","Jul_1_2016","Jul_1_2017","Jul_1_2018","Jul_1_2019","latitude","longitude"
600,"North Miami city, Florida","58,786",60134,60322,60991,61553,61946,61903,62040,62018,61939,63481,62822,25.8900949,-80.1867138
601,"Encinitas city, California","59,518",59526,59684,60264,60890,61555,62023,62590,62921,62884,62750,62709,33.0369867,-117.2919818
602,"Skokie village, Illinois","64,784",64845,64889,65087,65247,65328,65223,64888,64437,63847,63171,62700,42.0333694,-87.7333972
603,"Leander city, Texas","26,521",27288,27709,29120,30636,32774,35280,39019,43788,49792,55924,62608,30.5586046,-97.8444364
604,"Waltham city, Massachusetts","60,632",60638,60889,61382,62047,62327,63114,63003,62939,62822,62563,62495,42.3756401,-71.2358004
605,"Council Bluffs city, Iowa","62,230",62226,62370,62502,62160,62117,62397,62556,62458,62377,62221,62166,41.2621283,-95.8613912
606,"Hamilton city, Ohio","62,477",62291,62345,62329,62234,62299,62414,62345,62250,62114,62132,62082,39.3995067,-84.5613428
607,"Moore city, Oklahoma","55,081",55082,55425,56724,57830,57800,58462,59593,60479,60973,61452,62055,35.3395135,-97.4867045
608,"Pico Rivera city, California","62,942",62958,62960,63221,63430,63597,63637,63670,63438,63133,62677,62027,33.9830688,-118.096735
609,"Montebello city, California","62,500",62488,62490,62903,63123,63279,63322,63379,63134,62823,62440,61954,34.0159398,-118.111975
610,"Millcreek city, Utah","(X)",58750,58853,59397,59853,60253,60176,60147,60354,60718,61060,61450,40.6998905,-111.8540932
611,"Sanford city, Florida","53,570",53933,53971,54377,54937,56283,57643,58289,58968,59542,60107,61448,28.8117297,-81.2680345
612,"National City city, California","58,582",58560,58624,59042,59369,59776,60132,60721,60967,61083,61272,61394,32.6781085,-117.0991967
613,"Burnsville city, Minnesota","60,306",60286,60391,60649,60864,61144,61314,61203,61316,61431,61162,61339,44.7670567,-93.2773887
614,"Coconut Creek city, Florida","52,909",53042,53183,54324,55131,56920,58502,59202,59815,61070,61205,61248,26.2517482,-80.1789351
615,"Lakewood city, Washington","58,163",57532,57600,57945,58110,58144,58580,58885,59747,60316,60511,61037,47.1717649,-122.518458
616,"Taylor city, Michigan","63,131",63131,62982,62631,62465,61957,62068,61777,61580,61404,61163,60922,42.240872,-83.2696509
617,"Novi city, Michigan","55,224",55232,55287,56055,57043,58124,58634,58913,59598,59948,60787,60896,42.48059,-83.4754913
618,"Marietta city, Georgia","56,579",56486,56708,57348,58167,58819,59547,59845,60679,60679,60647,60867,33.9528472,-84.5496148
619,"Ocala city, Florida","56,315",56568,56565,56707,56783,56804,57178,57719,58460,59091,60274,60786,29.1871986,-82.1400923
620,"Terre Haute city, Indiana","60,785",60785,60787,60993,61176,60921,60785,60596,60683,60816,60775,60622,39.4667025,-87.4139119
621,"Woodland city, California","55,468",55553,55615,55786,56272,56713,57328,58385,59098,59923,60474,60548,38.6786109,-121.7733285
622,"Petaluma city, California","57,941",57968,58037,58236,58728,59337,59753,60295,60468,60682,61826,60520,38.270022,-122.606122413043
623,"La Habra city, California","60,239",59016,59108,59658,59970,60224,60421,60473,60292,60898,60778,60513,33.9316066,-117.9454867
624,"Malden city, Massachusetts","59,450",59536,59691,60131,60591,60938,61217,61383,61276,61079,60735,60470,42.4250964,-71.066163
625,"Commerce City city, Colorado","45,913",45864,46128,47507,48504,49717,51468,53161,54523,55925,58324,60336,39.8083196,-104.9338675
626,"Owensboro city, Kentucky","57,265",57482,57511,57755,58139,58357,58415,59031,59305,59523,59745,60131,37.7742152,-87.1133304
627,"Bristol city, Connecticut","60,477",60499,60502,60599,60658,60558,60588,60524,60304,60131,60101,59947,41.6735209,-72.9464859
628,"West Allis city, Wisconsin","60,411",60401,60418,60492,60695,60803,60765,60709,60331,59845,59410,59890,43.0166806,-88.0070315
629,"Taylorsville city, Utah","58,652",58691,58754,59761,60210,60530,60361,60290,60401,60057,60005,59805,40.6677096,-111.9385867
630,"Utica city, New York","62,235",62241,62209,62036,61886,61680,61289,60912,60618,60374,60040,59750,43.1009031,-75.2326641
631,"Monterey Park city, California","60,269",60225,60218,60460,60645,60796,60832,60908,60830,60668,60198,59669,34.051522,-118.129807
632,"Bonita Springs city, Florida","43,914",43930,44075,45039,46342,47664,49367,51850,54400,56175,57398,59637,26.339806,-81.7786972
633,"Porterville city, California","54,165",58104,58197,58540,58708,58891,58995,59721,59699,59745,59685,59599,36.06523,-119.0167679
634,"Greenwood city, Indiana","49,791",51116,51159,52031,52800,53658,54452,55272,56352,57356,58701,59458,39.6136578,-86.1066526
635,"Bartlett city, Tennessee","54,613",56941,57030,57388,58224,58231,58353,58665,58887,59101,59403,59440,35.2045329,-89.8739753
